id,genero,idgenero,año_ingreso,semestre_trimestre,idprograma,programa,facultad,campus,sede,jornada,duracionprograma,añooportuno,estadoalumno,idestadoalumno,tipoprograma
3880,Hombre,1,2017,1,IPPG35348,MBA con Especialización en Salud,IPPG,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
3881,Mujer,0,2015,2,UNAB15350,Magister en Fisiopatología Craneocervical Craneomandibular y Dolor Facial,Ciencias de la Rehabilitación,CAS,Santiago,Diurna,4,2018,Desertor,0,Magíster
3882,Mujer,0,2016,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2018,Desertor,0,Magíster
3883,Mujer,0,2017,1,IPPG25348,MBA con Especialización en Salud,IPPG,REP,Santiago,Vespertina,4,2019,Desertor,0,Magíster
3884,Mujer,0,2014,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2016,Desertor,0,Magíster
3885,Hombre,1,2017,2,UNAB35636,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,ANT,Santiago,On Line,3,2019,Desertor,0,Magíster
3886,Mujer,0,2014,1,UNAB25410,Magister en Enseñanza del Inglés Como Lengua Extranjera,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2016,Desertor,0,Magíster
3887,Mujer,0,2014,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2016,Desertor,0,Magíster
3888,Mujer,0,2015,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2017,Desertor,0,Magíster
3889,Mujer,0,2017,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2019,Desertor,0,Magíster
3890,Hombre,1,2015,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,RAN,Santiago,Vespertina,4,2017,Desertor,0,Magíster
3891,Mujer,0,2017,2,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
3892,Hombre,1,2014,2,UNAB25466,Magíster en Logística y Gestión de Operaciones con y Sin Mención,Ingeniería,REP,Santiago,Vespertina,3,2016,Desertor,0,Magíster
3893,Mujer,0,2014,1,IPPG15481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,Diurna,4,2016,Desertor,0,Magíster
3894,Hombre,1,2016,1,IPPG15348,MBA con Especialización en Salud,IPPG,REP,Santiago,Diurna,4,2018,Desertor,0,Magíster
3895,Hombre,1,2018,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
3896,Mujer,0,2016,2,UNAB25317,Magister en Administración de Empresas,Economía y Negocios,CAS,Santiago,Vespertina,4,2019,Desertor,0,Magíster
3897,Mujer,0,2016,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2018,Desertor,0,Magíster
3898,Mujer,0,2017,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2019,Desertor,0,Magíster
3899,Mujer,0,2017,2,UNAB35338,Magíster en Gestión en Atención Primaria de Salud,Enfermería,REP,Santiago,On Line,4,2020,Activo,1,Magíster
3900,Mujer,0,2014,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2016,Desertor,0,Magíster
3901,Hombre,1,2017,2,IPPG15348,MBA con Especialización en Salud,IPPG,EXT,Santiago,Diurna,4,2020,Activo,1,Magíster
3902,Hombre,1,2016,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
3903,Mujer,0,2014,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2016,Desertor,0,Magíster
3904,Mujer,0,2016,2,UNAB29981,Magister en Gestión Pedagógica y Curricular,Educación y Ciencias Sociales,EXT,Santiago,Vespertina,4,2019,Desertor,0,Magíster
3905,Mujer,0,2017,2,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
3906,Mujer,0,2014,1,UNAB29981,Magister en Gestión Pedagógica y Curricular,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2016,Desertor,0,Magíster
3907,Mujer,0,2014,1,UNAB29981,Magister en Gestión Pedagógica y Curricular,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2016,Desertor,0,Magíster
3908,Mujer,0,2017,2,UNAB25551,Magister en Direccion de Recursos Humanos y Habilidades Directivas,Economía y Negocios,CON,Concepción,Vespertina,26,2019,Desertor,0,Magíster
3909,Hombre,1,2015,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2017,Desertor,0,Magíster
3910,Mujer,0,2016,2,UNAB25317,Magister en Administración de Empresas,Economía y Negocios,CAS,Santiago,Vespertina,4,2019,Desertor,0,Magíster
3911,Mujer,0,2018,1,UNAB25431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2020,Activo,1,Magíster
3912,Hombre,1,2015,1,UNAB25317,Magister en Administración de Empresas,Economía y Negocios,CAS,Santiago,Vespertina,4,2017,Desertor,0,Magíster
3913,Hombre,1,2014,1,UNAB25491,Magíster en Ingeniería Industrial con y Sin Menciones,Ingeniería,REP,Santiago,Vespertina,3,2016,Desertor,0,Magíster
3914,Hombre,1,2015,1,UNAB25311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,CON,Concepción,Vespertina,4,2017,Desertor,0,Magíster
3915,Mujer,0,2015,1,UNAB35405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
3916,Mujer,0,2015,1,UNAB25311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2017,Desertor,0,Magíster
3917,Mujer,0,2015,2,IPPG35481,Magíster en Salud Pública con Menciones (Mph),IPPG,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
3918,Mujer,0,2015,2,UNAB35520,Magíster en Intervención Socio-Jurídica en Familia,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2018,Desertor,0,Magíster
3919,Mujer,0,2015,1,UNAB25311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2017,Desertor,0,Magíster
3920,Hombre,1,2017,2,UNAB35338,Magíster en Gestión en Atención Primaria de Salud,Enfermería,REP,Santiago,On Line,4,2020,Activo,1,Magíster
3921,Hombre,1,2015,1,UNAB35431,Magíster en Desarrollo Curricular y Proyectos Educativos,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2017,Desertor,0,Magíster
3922,Hombre,1,2018,1,UNAB35311,Magister en Docencia para la Educación Superior,Educación y Ciencias Sociales,REP,Santiago,On Line,4,2020,Activo,1,Magíster
3923,Mujer,0,2017,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2019,Desertor,0,Magíster
3924,Hombre,1,2017,1,UNAB25405,Magister en Dirección y Liderazgo para la Gestión Educacional,Educación y Ciencias Sociales,BEL,Santiago,Vespertina,4,2019,Desertor,0,Magíster
